mid,transaction_id,company,sender_id,email_timestamp,year,month,day,product_mrp,product_price,product_discount,product_quantity,product_total,product_shipping_fee,product_shipping_discount,order_subtotal,order_convenience_fee,order_delivery_fee,order_gift_wrapping_fee,order_cod_fee,product_pickup_fee,order_donation,order_discount,order_promotion_discount,order_exchange_discount,order_cashback,paid_with_wallet_balance,order_amount_paid,points_earned,premium_membership,premium_membership_type,order_payment_type,order_payment_currency,product_brand,product_name,product_category,product_subcategory_1,product_subcategory_2,seller_name,ott_purchase,ott_subscription_name,ott_subscription_amount,dth_purchase,dth_subscription_name,dth_subscription_amount,broadband_purchase,broadband_subscription_name,broadband_subscription_amount,delivery_address_postal_code,delivery_address_city,delivery_address_state,user_id,user_gender,user_age,user_dob,user_address_postal_code,user_address_city,user_address_state,user_address_country,user_device_brand,user_device_model,user_os_type,user_onboard_at,user_inactive_at
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,65.39,,,,,,,,,,,,,,,,,,,,,,,,,Onion (Eerulli),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,185.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Natural Cheddar Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,67.00,,,,,,,,,,,,,,,,,,,,,,,,,Button Mushroom (Anabe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,59.00,,,,,,,,,,,,,,,,,,,,,,,,,Potato (Aloo Gadde),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,114.00,,,,,,,,,,,,,,,,,,,,,,,,,Shimla Apple (Sebu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,65.00,,,,,,,,,,,,,,,,,,,,,,,,,The Baker's Dozen 100% Wholewheat Bread Zero Maida Bread XXXXX Palm Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,90.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Masti Spiced Buttermilk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,Bingo Tedhe Medhe Masala Tadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,52.00,,,,,,,,,,,,,,,,,,,,,,,,,Haldiram's Nagpur Khari Boondi Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,Kurkure Solid Masti Masala Twisteez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,Guava (Peru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_117,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,110.00,,,,,,,,,,,,,,,,,,,,,,,,,Bikaji Tana Tan Aloo Bhujia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,76.00,,,,,,,,,,,,,,,,,,,,,,,,,Philips 5XXXXXWatt B22 Led Bulb Full Glow Led Bulb Crystal White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Harvest Crystal Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,239.00,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Harvest Cashew Split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,145.00,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Harvest Indian Raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
